Site,Treatment,Transect,Aphaenogaster picea,Aphaenogaster tennesseensis,Amblyopone pallipes,Camponotus pennsylvanicus,Formica subsericea,Formica pallidefulva,Lasius alienus,Lasius nearcticus,Lasius umbratus,Leptothorax longispinosus,Myrmecina americana,Myrmica punctiventris,Ponera pennsylvanica,Stenamma diecki-schmitti,Stenamma impar
41,F,1,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0
42,SL,1,64,0,0,0,39,0,1,0,0,0,2,0,0,0,2
43,W,1,72,0,0,5,6,0,0,0,0,0,1,1,0,0,2
44,F,1,29,0,0,7,8,0,1,0,0,0,0,0,0,0,2
45,F,2,66,0,0,0,0,0,4,1,3,0,5,0,0,1,3
46,SL,2,76,0,1,3,0,0,2,0,3,1,19,0,0,10,10
47,W,2,27,0,0,2,0,0,0,0,168,0,7,0,2,8,12
48,F,2,26,0,0,16,0,0,8,3,0,0,2,1,0,0,3
49,SL,3,0,0,0,6,6,1,1,0,2,0,0,0,0,0,0
50,F,3,40,0,1,4,1,0,3,1,6,0,10,0,0,0,10
51,W,3,29,1,0,0,0,0,7,4,20,0,15,0,0,10,5
52,F,3,40,0,0,0,3,0,0,0,32,2,4,0,0,1,8
53,SL,4,51,0,0,0,40,0,3,0,0,5,32,0,1,1,1
54,F,4,45,0,0,0,0,0,3,0,0,0,2,0,0,7,4
55,W,4,93,0,0,2,23,0,5,0,0,1,11,2,0,0,20
56,F,4,76,0,0,6,6,0,0,0,0,0,0,0,0,0,10
57,SL,5,69,0,0,2,13,0,1,0,0,0,3,0,0,2,2
58,F,5,27,0,0,3,0,0,0,0,0,0,6,0,0,9,6
59,W,5,193,0,0,19,0,0,17,0,5,1,9,0,9,8,48
60,F,5,38,0,0,1,24,0,4,0,0,1,1,0,0,2,2
61,SL,6,85,0,0,3,0,0,6,0,0,2,12,1,0,2,18
62,F,6,35,0,0,0,0,0,15,0,0,0,11,0,0,2,15
64,F,6,49,0,0,20,0,0,9,1,2,0,0,0,1,4,2
65,W,6,30,0,0,13,0,0,38,0,6,0,2,1,0,1,20
