Rep	Sample	Pop1	Pop2	Pop3	Pop4	Pop5	Pop6	Pop7
1	1	0.060	0.238	0.296	0.246	0.318	0.550	0.321
1	2	0.243	0.215	0.141	0.484	0.322	0.474	0.516
1	3	0.142	0.107	0.346	0.359	0.341	0.521	0.640
1	4	0.213	0.109	0.613	0.173	0.351	0.525	0.559
1	5	0.055	0.251	0.208	0.144	0.168	0.580	0.364
1	6	0.038	0.322	0.354	0.141	0.369	0.400	0.508
2	1	0.569	0.532	0.842	0.502	0.398	0.803	0.667
2	2	0.333	0.447	0.506	0.566	0.615	1.115	0.468
2	3	0.545	0.545	0.203	0.452	0.813	1.083	0.312
2	4	0.297	0.280	0.704	1.094	0.719	0.925	0.985
2	5	0.152	0.552	0.293	0.653	0.802	0.944	0.251
2	6	0.301	1.182	0.833	0.342	0.618	0.788	0.593
3	1	0.290	0.192	0.205	0.242	0.494	0.611	0.451
3	2	0.469	0.579	0.282	0.616	0.299	0.642	0.127
3	3	0.151	0.136	0.501	0.325	0.709	0.399	0.657
3	4	0.105	0.485	0.381	0.218	0.778	0.805	0.650
3	5	0.296	0.556	0.399	0.163	0.549	1.045	0.552
3	6	0.164	0.490	0.807	0.361	0.930	0.667	0.534
4	1	0.061	0.773	0.257	0.505	0.489	0.279	0.675
4	2	0.301	0.819	0.323	0.532	0.460	0.619	0.574
4	3	0.386	0.643	0.504	0.420	0.454	0.840	0.698
4	4	0.420	0.744	0.408	0.789	0.865	0.408	0.675
4	5	0.628	0.877	0.701	0.549	0.655	0.533	0.619
4	6	0.602	1.062	0.554	0.440	0.358	0.599	0.694
5	1	0.152	0.258	0.417	0.166	0.317	0.427	0.862
5	2	0.030	0.131	0.115	0.282	0.392	0.321	0.622
5	3	0.209	0.334	0.412	0.332	0.504	0.360	0.701
5	4	0.285	0.386	0.243	0.692	0.413	0.387	0.618
5	5	0.241	0.419	0.479	0.724	0.687	0.233	0.868
5	6	0.210	0.312	0.630	0.491	0.629	0.216	0.468
6	1	0.507	0.782	0.470	0.726	0.760	0.585	0.791
6	2	0.337	0.305	0.575	0.775	0.553	0.491	1.094
6	3	0.231	0.337	0.755	1.081	0.913	0.245	0.910
6	4	0.232	0.909	0.385	1.513	0.362	0.362	1.158
6	5	0.237	0.653	0.733	1.026	0.507	0.382	0.791
6	6	0.296	0.750	0.263	0.578	0.686	0.441	0.777
7	1	0.297	0.597	0.460	1.157	0.726	0.667	0.824
7	2	0.292	0.760	0.379	0.603	1.077	0.655	1.323
7	3	0.209	0.824	0.577	1.089	1.400	0.253	0.924
7	4	0.577	0.231	0.600	0.824	0.520	0.402	0.825
7	5	0.176	0.687	0.722	0.663	1.033	0.245	0.897
7	6	0.761	0.876	0.332	0.945	1.146	0.249	0.605
8	1	0.338	0.061	0.322	1.048	0.614	0.305	0.577
8	2	0.000	0.322	0.334	0.526	0.317	0.247	0.870
8	3	0.101	0.300	0.414	1.016	0.088	0.043	1.173
8	4	0.232	0.297	0.361	0.864	0.404	0.382	1.033
8	5	0.302	0.522	0.487	0.480	0.461	0.417	1.020
8	6	0.337	0.352	0.578	1.174	0.141	0.651	0.656
