square,sheep,letter,time,digest
1,1,A,1,493
1,1,B,2,543
1,1,C,3,596
1,2,B,1,550
1,2,C,2,570
1,2,A,3,604
1,3,C,1,540
1,3,A,2,546
1,3,B,3,499
2,4,A,1,508
2,4,C,2,550
2,4,B,3,495
2,5,B,1,509
2,5,A,2,520
2,5,C,3,555
2,6,C,1,549
2,6,B,2,498
2,6,A,3,515
3,7,A,1,539
3,7,B,2,483
3,7,C,3,558
3,8,B,1,511
3,8,C,2,582
3,8,A,3,535
3,9,C,1,566
3,9,A,2,520
3,9,B,3,472
4,10,A,1,473
4,10,C,2,588
4,10,B,3,454
4,11,B,1,511
4,11,A,2,488
4,11,C,3,599
4,12,C,1,553
4,12,B,2,521
4,12,A,3,492
5,13,A,1,499
5,13,B,2,529
5,13,C,3,577
5,14,B,1,542
5,14,C,2,609
5,14,A,3,462
5,15,C,1,563
5,15,A,2,512
5,15,B,3,501
6,16,A,1,492
6,16,C,2,607
6,16,B,3,443
6,17,B,1,547
6,17,A,2,492
6,17,C,3,555
6,18,C,1,566
6,18,B,2,461
6,18,A,3,468
