"Variety"	"Growth_Regulator"	"Fertility"	"Rep"	"Seed_Yield_samples"	"Seed_Yield_lbs_per_acre"	"Plant_Height"
"CO"	"None"	"30-F"	"1"	6	53	18
"CO"	"None"	"30-F"	"2"	20	178	20
"CO"	"None"	"30-F"	"3"	18	160	21
"CO"	"None"	"30-F"	"4"	4	36	22
"CO"	"None"	"30-F/S"	"1"	8	71	19
"CO"	"None"	"30-F/S"	"2"	9	80	22
"CO"	"None"	"30-F/S"	"3"	24	214	21
"CO"	"None"	"30-F/S"	"4"	2	18	20
"CO"	"None"	"60-F"	"1"	3	27	17
"CO"	"None"	"60-F"	"2"	14	125	20
"CO"	"None"	"60-F"	"3"	37	329	21
"CO"	"None"	"60-F"	"4"	21	187	23
"CO"	"Full"	"30-F"	"1"	4	36	17
"CO"	"Full"	"30-F"	"2"	18	160	20
"CO"	"Full"	"30-F"	"3"	14	125	19
"CO"	"Full"	"30-F"	"4"	7	62	20
"CO"	"Full"	"30-F/S"	"1"	14	125	18
"CO"	"Full"	"30-F/S"	"2"	16	142	18
"CO"	"Full"	"30-F/S"	"3"	12	107	19
"CO"	"Full"	"30-F/S"	"4"	2	18	20
"CO"	"Full"	"60-F"	"1"	5	45	16
"CO"	"Full"	"60-F"	"2"	14	125	20
"CO"	"Full"	"60-F"	"3"	14	125	18
"CO"	"Full"	"60-F"	"4"	9	80	19
"CO"	"Half"	"30-F"	"1"	8	71	16
"CO"	"Half"	"30-F"	"2"	17	151	18
"CO"	"Half"	"30-F"	"3"	13	116	19
"CO"	"Half"	"30-F"	"4"	3	27	19
"CO"	"Half"	"30-F/S"	"1"	17	151	17
"CO"	"Half"	"30-F/S"	"2"	15	134	18
"CO"	"Half"	"30-F/S"	"3"	16	142	19
"CO"	"Half"	"30-F/S"	"4"	13	116	19
"CO"	"Half"	"60-F"	"1"	15	134	17
"CO"	"Half"	"60-F"	"2"	18	160	19
"CO"	"Half"	"60-F"	"3"	20	178	19
"CO"	"Half"	"60-F"	"4"	10	89	18
"NE"	"None"	"30-F"	"1"	14	125	19
"NE"	"None"	"30-F"	"2"	20	178	21
"NE"	"None"	"30-F"	"3"	16	142	24
"NE"	"None"	"30-F"	"4"	11	98	24
"NE"	"None"	"30-F/S"	"1"	5	45	21
"NE"	"None"	"30-F/S"	"2"	9	80	21
"NE"	"None"	"30-F/S"	"3"	15	134	24
"NE"	"None"	"30-F/S"	"4"	8	71	22
"NE"	"None"	"60-F"	"1"	2	18	19
"NE"	"None"	"60-F"	"2"	5	45	20
