height	age	Seed
4.51	3	301
10.89	5	301
28.72	10	301
41.74	15	301
52.7	20	301
60.92	25	301
4.55	3	303
10.92	5	303
29.07	10	303
42.83	15	303
53.88	20	303
63.39	25	303
4.79	3	305
11.37	5	305
30.21	10	305
44.4	15	305
55.82	20	305
64.1	25	305
3.91	3	307
9.48	5	307
25.66	10	307
39.07	15	307
50.78	20	307
59.07	25	307
4.81	3	309
11.2	5	309
28.66	10	309
41.66	15	309
53.31	20	309
63.05	25	309
3.88	3	311
9.4	5	311
25.99	10	311
39.55	15	311
51.46	20	311
59.64	25	311
4.32	3	315
10.43	5	315
27.16	10	315
40.85	15	315
51.33	20	315
60.07	25	315
4.57	3	319
10.57	5	319
27.9	10	319
41.13	15	319
52.43	20	319
60.69	25	319
3.77	3	321
9.03	5	321
25.45	10	321
38.98	15	321
49.76	20	321
60.28	25	321
4.33	3	323
10.79	5	323
28.97	10	323
42.44	15	323
53.17	20	323
61.62	25	323
4.38	3	325
10.48	5	325
27.93	10	325
40.2	15	325
50.06	20	325
58.49	25	325
4.12	3	327
9.92	5	327
26.54	10	327
37.82	15	327
48.43	20	327
56.81	25	327
3.93	3	329
9.34	5	329
26.08	10	329
37.79	15	329
48.31	20	329
56.43	25	329
3.46	3	331
9.05	5	331
25.85	10	331
39.15	15	331
49.12	20	331
59.49	25	331
