"rep"	"animal"	"diet"	"drug"	"glucose"
1	"goat"	"alfalfa_hay"	"control"	66
1	"goat"	"alfalfa_hay"	"slaframine"	56
1	"goat"	"control"	"control"	70
1	"goat"	"control"	"slaframine"	89
1	"goat"	"cottonseed_meal"	"control"	69
1	"goat"	"cottonseed_meal"	"slaframine"	61
1	"sheep"	"alfalfa_hay"	"control"	57
1	"sheep"	"alfalfa_hay"	"slaframine"	85
1	"sheep"	"control"	"control"	52
1	"sheep"	"control"	"slaframine"	87
1	"sheep"	"cottonseed_meal"	"control"	53
1	"sheep"	"cottonseed_meal"	"slaframine"	73
2	"goat"	"alfalfa_hay"	"control"	63
2	"goat"	"alfalfa_hay"	"slaframine"	60
2	"goat"	"control"	"control"	63
2	"goat"	"control"	"slaframine"	59
2	"goat"	"cottonseed_meal"	"control"	55
2	"goat"	"cottonseed_meal"	"slaframine"	75
2	"sheep"	"alfalfa_hay"	"control"	57
2	"sheep"	"alfalfa_hay"	"slaframine"	82
2	"sheep"	"control"	"control"	58
2	"sheep"	"control"	"slaframine"	84
2	"sheep"	"cottonseed_meal"	"control"	55
2	"sheep"	"cottonseed_meal"	"slaframine"	79
3	"goat"	"alfalfa_hay"	"control"	60
3	"goat"	"alfalfa_hay"	"slaframine"	70
3	"goat"	"control"	"control"	66
3	"goat"	"control"	"slaframine"	66
3	"goat"	"cottonseed_meal"	"control"	62
3	"goat"	"cottonseed_meal"	"slaframine"	49
3	"sheep"	"alfalfa_hay"	"control"	60
3	"sheep"	"alfalfa_hay"	"slaframine"	79
3	"sheep"	"control"	"control"	53
3	"sheep"	"control"	"slaframine"	85
3	"sheep"	"cottonseed_meal"	"control"	84
3	"sheep"	"cottonseed_meal"	"slaframine"	86
4	"goat"	"alfalfa_hay"	"control"	71
4	"goat"	"alfalfa_hay"	"slaframine"	61
4	"goat"	"control"	"control"	76
4	"goat"	"control"	"slaframine"	94
4	"goat"	"cottonseed_meal"	"control"	73
4	"goat"	"cottonseed_meal"	"slaframine"	67
4	"sheep"	"alfalfa_hay"	"control"	63
4	"sheep"	"alfalfa_hay"	"slaframine"	90
4	"sheep"	"control"	"control"	55
4	"sheep"	"control"	"slaframine"	91
4	"sheep"	"cottonseed_meal"	"control"	57
4	"sheep"	"cottonseed_meal"	"slaframine"	78
5	"goat"	"alfalfa_hay"	"control"	67
5	"goat"	"alfalfa_hay"	"slaframine"	65
5	"goat"	"control"	"control"	68
5	"goat"	"control"	"slaframine"	63
5	"goat"	"cottonseed_meal"	"control"	59
5	"goat"	"cottonseed_meal"	"slaframine"	79
5	"sheep"	"alfalfa_hay"	"control"	61
5	"sheep"	"alfalfa_hay"	"slaframine"	87
5	"sheep"	"control"	"control"	62
5	"sheep"	"control"	"slaframine"	87
5	"sheep"	"cottonseed_meal"	"control"	59
5	"sheep"	"cottonseed_meal"	"slaframine"	82
6	"goat"	"alfalfa_hay"	"control"	66
6	"goat"	"alfalfa_hay"	"slaframine"	76
6	"goat"	"control"	"control"	70
6	"goat"	"control"	"slaframine"	71
6	"goat"	"cottonseed_meal"	"control"	68
6	"goat"	"cottonseed_meal"	"slaframine"	53
6	"sheep"	"alfalfa_hay"	"control"	63
6	"sheep"	"alfalfa_hay"	"slaframine"	85
6	"sheep"	"control"	"control"	57
6	"sheep"	"control"	"slaframine"	89
6	"sheep"	"cottonseed_meal"	"control"	88
6	"sheep"	"cottonseed_meal"	"slaframine"	90
7	"goat"	"alfalfa_hay"	"control"	61
7	"goat"	"alfalfa_hay"	"slaframine"	51
7	"goat"	"control"	"control"	67
7	"goat"	"control"	"slaframine"	84
7	"goat"	"cottonseed_meal"	"control"	64
7	"goat"	"cottonseed_meal"	"slaframine"	57
7	"sheep"	"alfalfa_hay"	"control"	53
7	"sheep"	"alfalfa_hay"	"slaframine"	80
7	"sheep"	"control"	"control"	49
7	"sheep"	"control"	"slaframine"	81
7	"sheep"	"cottonseed_meal"	"control"	49
7	"sheep"	"cottonseed_meal"	"slaframine"	67
8	"goat"	"alfalfa_hay"	"control"	59
8	"goat"	"alfalfa_hay"	"slaframine"	57
8	"goat"	"control"	"control"	58
8	"goat"	"control"	"slaframine"	55
8	"goat"	"cottonseed_meal"	"control"	50
8	"goat"	"cottonseed_meal"	"slaframine"	71
8	"sheep"	"alfalfa_hay"	"control"	52
8	"sheep"	"alfalfa_hay"	"slaframine"	77
8	"sheep"	"control"	"control"	52
8	"sheep"	"control"	"slaframine"	79
8	"sheep"	"cottonseed_meal"	"control"	50
8	"sheep"	"cottonseed_meal"	"slaframine"	73
9	"goat"	"alfalfa_hay"	"control"	55
9	"goat"	"alfalfa_hay"	"slaframine"	65
9	"goat"	"control"	"control"	61
9	"goat"	"control"	"slaframine"	62
9	"goat"	"cottonseed_meal"	"control"	57
9	"goat"	"cottonseed_meal"	"slaframine"	43
9	"sheep"	"alfalfa_hay"	"control"	56
9	"sheep"	"alfalfa_hay"	"slaframine"	75
9	"sheep"	"control"	"control"	47
9	"sheep"	"control"	"slaframine"	80
9	"sheep"	"cottonseed_meal"	"control"	78
9	"sheep"	"cottonseed_meal"	"slaframine"	82
10	"goat"	"alfalfa_hay"	"control"	71
10	"goat"	"alfalfa_hay"	"slaframine"	62
10	"goat"	"control"	"control"	74
10	"goat"	"control"	"slaframine"	93
10	"goat"	"cottonseed_meal"	"control"	74
10	"goat"	"cottonseed_meal"	"slaframine"	65
10	"sheep"	"alfalfa_hay"	"control"	63
10	"sheep"	"alfalfa_hay"	"slaframine"	90
10	"sheep"	"control"	"control"	58
10	"sheep"	"control"	"slaframine"	92
10	"sheep"	"cottonseed_meal"	"control"	58
10	"sheep"	"cottonseed_meal"	"slaframine"	79
11	"goat"	"alfalfa_hay"	"control"	68
11	"goat"	"alfalfa_hay"	"slaframine"	66
11	"goat"	"control"	"control"	68
11	"goat"	"control"	"slaframine"	64
11	"goat"	"cottonseed_meal"	"control"	61
11	"goat"	"cottonseed_meal"	"slaframine"	81
11	"sheep"	"alfalfa_hay"	"control"	61
11	"sheep"	"alfalfa_hay"	"slaframine"	88
11	"sheep"	"control"	"control"	63
11	"sheep"	"control"	"slaframine"	89
11	"sheep"	"cottonseed_meal"	"control"	60
